LabVIEW Measurement,
Writer_Version,2
Reader_Version,2
Separator,Comma
Decimal_Separator,.
Multi_Headings,No
X_Columns,Multi
Time_Pref,Absolute
Operator,gaudettelab
Date,6/17/2014
Time,17:49.6
***End_of_Header***,
,
Channels,1
Samples,1478
Date,6/17/2014
Time,47:36.7
Y_Unit_Label,Volts
X_Dimension,Time
X0,0.00E+00
Delta_X,0.004
***End_of_Header***,
X_Value,Dev1/ai0
0,7.75E+01
0.004,7.87E+01
0.008,7.97E+01
0.012,8.09E+01
0.016,8.07E+01
0.02,7.95E+01
0.024,7.87E+01
0.028,7.85E+01
0.032,7.70E+01
0.036,7.48E+01
0.04,7.36E+01
0.044,7.29E+01
0.048,7.09E+01
0.052,6.77E+01
0.056,6.36E+01
0.06,5.77E+01
0.064,4.58E+01
0.068,3.65E+01
0.072,2.82E+01
0.076,2.13E+01
0.08,1.60E+01
0.084,1.11E+01
0.088,6.94E+00
0.092,4.50E+00
0.096,3.77E+00
0.1,3.28E+00
0.104,3.04E+00
0.108,3.28E+00
0.112,4.01E+00
0.116,4.26E+00
0.12,3.53E+00
0.124,3.77E+00
0.128,4.50E+00
0.132,4.26E+00
0.136,3.53E+00
0.14,3.77E+00
0.144,4.50E+00
0.148,4.50E+00
0.152,4.01E+00
0.156,4.01E+00
0.16,4.50E+00
0.164,4.75E+00
0.168,4.50E+00
0.172,4.26E+00
0.176,4.50E+00
0.18,4.99E+00
0.184,4.75E+00
0.188,4.50E+00
0.192,4.75E+00
0.196,5.24E+00
0.2,4.99E+00
0.204,4.50E+00
0.208,4.75E+00
0.212,5.24E+00
0.216,4.99E+00
0.22,4.75E+00
0.224,4.75E+00
0.228,5.48E+00
0.232,5.48E+00
0.236,4.75E+00
0.24,4.99E+00
0.244,5.72E+00
0.248,5.48E+00
0.252,4.99E+00
0.256,4.99E+00
0.26,5.48E+00
0.264,5.72E+00
0.268,5.24E+00
0.272,5.24E+00
0.276,5.24E+00
0.28,5.72E+00
0.284,5.72E+00
0.288,5.24E+00
0.292,5.48E+00
0.296,5.97E+00
0.3,5.97E+00
0.304,5.48E+00
0.308,5.72E+00
0.312,6.21E+00
0.316,5.97E+00
0.32,5.48E+00
0.324,5.72E+00
0.328,6.46E+00
0.332,6.70E+00
0.336,6.21E+00
0.34,6.70E+00
0.344,7.68E+00
0.348,8.17E+00
0.352,7.92E+00
0.356,7.92E+00
0.36,8.65E+00
0.364,8.41E+00
0.368,8.17E+00
0.372,8.17E+00
0.376,1.09E+01
0.38,1.84E+01
0.384,2.94E+01
0.388,4.43E+01
0.392,5.97E+01
0.396,7.02E+01
0.4,7.48E+01
0.404,7.70E+01
0.408,7.90E+01
0.412,8.04E+01
0.416,8.07E+01
0.42,8.02E+01
0.424,7.99E+01
0.428,7.97E+01
0.432,7.82E+01
0.436,7.65E+01
0.44,7.51E+01
0.444,7.46E+01
0.448,7.29E+01
0.452,7.07E+01
0.456,6.80E+01
0.46,6.41E+01
0.464,5.77E+01
0.468,4.55E+01
0.472,3.62E+01
0.476,2.87E+01
0.48,2.23E+01
0.484,1.62E+01
0.488,1.11E+01
0.492,7.68E+00
0.496,5.72E+00
0.5,4.26E+00
0.504,3.53E+00
0.508,3.77E+00
0.512,4.75E+00
0.516,4.75E+00
0.52,4.26E+00
0.524,4.50E+00
0.528,5.24E+00
0.532,4.99E+00
