LabVIEW Measurement,
Writer_Version,2
Reader_Version,2
Separator,Comma
Decimal_Separator,.
Multi_Headings,No
X_Columns,Multi
Time_Pref,Absolute
Operator,gaudettelab
Date,6/17/2014
Time,17:49.6
***End_of_Header***,
,
Channels,1
Samples,1478
Date,6/17/2014
Time,47:36.7
Y_Unit_Label,Volts
X_Dimension,Time
X0,0.00E+00
Delta_X,0.004
***End_of_Header***,
X_Value,Dev1/ai0
0,8.17E+00
0.004,7.68E+00
0.008,9.14E+00
0.012,1.43E+01
0.016,2.45E+01
0.02,4.01E+01
0.024,6.11E+01
0.028,8.24E+01
0.032,9.09E+01
0.036,9.19E+01
0.04,9.29E+01
0.044,9.48E+01
0.048,9.56E+01
0.052,9.56E+01
0.056,9.58E+01
0.06,9.61E+01
0.064,9.58E+01
0.068,9.51E+01
0.072,9.48E+01
0.076,9.53E+01
0.08,9.51E+01
0.084,9.31E+01
0.088,9.00E+01
0.092,8.48E+01
0.096,7.26E+01
0.1,5.65E+01
0.104,4.53E+01
0.108,3.55E+01
0.112,2.77E+01
0.116,2.01E+01
0.12,1.33E+01
0.124,8.90E+00
0.128,6.21E+00
0.132,4.01E+00
0.136,2.55E+00
0.14,2.31E+00
0.144,2.79E+00
0.148,2.79E+00
0.152,2.31E+00
0.156,3.04E+00
0.16,4.01E+00
0.164,4.01E+00
0.168,3.53E+00
0.172,3.53E+00
0.176,4.26E+00
0.18,4.50E+00
0.184,4.01E+00
0.188,4.01E+00
0.192,4.50E+00
0.196,4.75E+00
0.2,4.75E+00
0.204,4.26E+00
0.208,4.75E+00
0.212,5.24E+00
0.216,5.48E+00
0.22,5.48E+00
0.224,6.21E+00
0.228,7.43E+00
0.232,8.17E+00
0.236,8.41E+00
0.24,8.90E+00
0.244,9.63E+00
0.248,9.63E+00
0.252,8.90E+00
0.256,9.14E+00
0.26,1.28E+01
0.264,2.18E+01
0.268,3.75E+01
0.272,5.89E+01
0.276,8.14E+01
0.28,9.07E+01
0.284,9.14E+01
0.288,9.31E+01
0.292,9.51E+01
0.296,9.65E+01
0.3,9.73E+01
0.304,9.73E+01
0.308,9.75E+01
0.312,9.75E+01
0.316,9.75E+01
0.32,9.73E+01
0.324,9.75E+01
0.328,9.83E+01
0.332,9.80E+01
0.336,9.70E+01
0.34,9.51E+01
0.344,9.12E+01
0.348,8.31E+01
0.352,6.38E+01
0.356,5.02E+01
0.36,3.94E+01
0.364,2.96E+01
0.368,2.09E+01
0.372,1.43E+01
0.376,9.39E+00
0.38,5.72E+00
0.384,3.04E+00
0.388,2.06E+00
0.392,2.06E+00
0.396,2.55E+00
0.4,2.55E+00
0.404,2.31E+00
0.408,2.79E+00
0.412,3.53E+00
0.416,3.53E+00
0.42,3.28E+00
0.424,3.77E+00
0.428,4.26E+00
0.432,4.26E+00
0.436,4.01E+00
0.44,4.01E+00
0.444,4.75E+00
0.448,4.75E+00
0.452,4.26E+00
0.456,4.50E+00
0.46,5.24E+00
0.464,5.48E+00
0.468,5.24E+00
0.472,5.97E+00
0.476,7.19E+00
0.48,7.92E+00
0.484,8.41E+00
0.488,8.90E+00
0.492,9.39E+00
0.496,9.63E+00
0.5,9.39E+00
0.504,8.90E+00
0.508,1.06E+01
0.512,1.70E+01
0.516,3.04E+01
0.52,4.87E+01
0.524,7.29E+01
0.528,8.90E+01
0.532,9.24E+01
