LabVIEW Measurement,
Writer_Version,2
Reader_Version,2
Separator,Comma
Decimal_Separator,.
Multi_Headings,No
X_Columns,Multi
Time_Pref,Absolute
Operator,gaudettelab
Date,6/17/2014
Time,17:49.6
***End_of_Header***,
,
Channels,1
Samples,1478
Date,6/17/2014
Time,47:36.7
Y_Unit_Label,Volts
X_Dimension,Time
X0,0.00E+00
Delta_X,0.004
***End_of_Header***,
X_Value,Dev1/ai0
0,2.04E+01
0.004,1.18E+01
0.008,7.19E+00
0.012,5.24E+00
0.016,4.50E+00
0.02,4.26E+00
0.024,4.75E+00
0.028,5.48E+00
0.032,5.48E+00
0.036,5.24E+00
0.04,5.48E+00
0.044,5.97E+00
0.048,6.46E+00
0.052,6.21E+00
0.056,6.94E+00
0.06,7.68E+00
0.064,7.68E+00
0.068,7.19E+00
0.072,7.43E+00
0.076,7.92E+00
0.08,8.65E+00
0.084,1.30E+01
0.088,2.84E+01
0.092,5.19E+01
0.096,7.48E+01
0.1,8.68E+01
0.104,8.97E+01
0.108,9.07E+01
0.112,9.09E+01
0.116,9.04E+01
0.12,8.87E+01
0.124,8.70E+01
0.128,8.53E+01
0.132,8.24E+01
0.136,7.73E+01
0.14,6.68E+01
0.144,5.06E+01
0.148,3.33E+01
0.152,1.96E+01
0.156,1.16E+01
0.16,7.68E+00
0.164,5.24E+00
0.168,4.01E+00
0.172,4.26E+00
0.176,5.24E+00
0.18,5.24E+00
0.184,4.99E+00
0.188,5.24E+00
0.192,5.72E+00
0.196,5.97E+00
0.2,6.21E+00
0.204,6.46E+00
0.208,6.94E+00
0.212,7.43E+00
0.216,7.68E+00
0.22,7.43E+00
0.224,7.43E+00
0.228,7.92E+00
0.232,9.14E+00
0.236,1.48E+01
0.24,3.18E+01
0.244,5.65E+01
0.248,7.77E+01
0.252,8.70E+01
0.256,8.97E+01
0.26,9.09E+01
0.264,9.07E+01
0.268,8.95E+01
0.272,8.82E+01
0.276,8.70E+01
0.28,8.46E+01
0.284,8.12E+01
0.288,7.55E+01
0.292,6.33E+01
0.296,4.65E+01
0.3,2.96E+01
0.304,1.74E+01
0.308,1.04E+01
0.312,6.70E+00
0.316,4.75E+00
0.32,4.01E+00
0.324,4.50E+00
0.328,5.24E+00
0.332,5.24E+00
0.336,4.99E+00
0.34,5.24E+00
0.344,5.72E+00
0.348,5.97E+00
0.352,5.97E+00
0.356,6.46E+00
0.36,7.43E+00
0.364,7.68E+00
0.368,6.94E+00
0.372,7.43E+00
0.376,7.92E+00
0.38,7.92E+00
0.384,9.63E+00
0.388,1.84E+01
0.392,3.77E+01
0.396,6.24E+01
0.4,8.09E+01
0.404,8.80E+01
0.408,9.00E+01
0.412,9.04E+01
0.416,9.02E+01
0.42,8.92E+01
0.424,8.75E+01
0.428,8.60E+01
0.432,8.36E+01
0.436,7.97E+01
0.44,7.26E+01
0.444,5.85E+01
0.448,4.11E+01
0.452,2.50E+01
0.456,1.50E+01
0.46,9.39E+00
0.464,5.97E+00
0.468,4.01E+00
0.472,4.01E+00
0.476,4.99E+00
0.48,5.24E+00
0.484,4.99E+00
0.488,5.24E+00
0.492,5.48E+00
0.496,5.72E+00
0.5,5.97E+00
0.504,6.21E+00
0.508,6.70E+00
0.512,7.43E+00
0.516,7.43E+00
0.52,7.19E+00
0.524,7.43E+00
0.528,7.68E+00
0.532,7.92E+00
