LabVIEW Measurement,
Writer_Version,2
Reader_Version,2
Separator,Comma
Decimal_Separator,.
Multi_Headings,No
X_Columns,Multi
Time_Pref,Absolute
Operator,gaudettelab
Date,2014/05/13
Time,14:44:07.1781122499428898017
***End_of_Header***,
,
Channels,1,
Samples,1478,
Date,2014/05/13,
Time,15:06:16.2251293499428654566,
Y_Unit_Label,Volts,
X_Dimension,Time,
X0,0.0000000000000000E+0,
Delta_X,0.004000,
***End_of_Header***,,
X_Value,Dev1/ai0,Comment
0.000000,-0.690965
0.004000,-0.756731
0.008000,-0.378579
0.012000,0.229752
0.016000,0.476372
0.020000,0.509255
0.024000,0.772317
0.028000,1.298441
0.032000,1.413531
0.036000,1.166910
0.040000,1.051820
0.044000,1.462855
0.048000,2.482220
0.052000,6.280177
0.056000,17.657607
0.060000,34.329158
0.064000,49.586748
0.068000,58.892562
0.072000,63.430378
0.076000,66.077438
0.080000,67.326982
0.084000,67.063920
0.088000,66.028114
0.092000,64.910101
0.096000,63.249523
0.100000,60.684671
0.104000,57.741666
0.108000,54.930193
0.112000,50.622554
0.116000,42.352546
0.120000,28.985712
0.124000,16.671125
0.128000,8.713500
0.132000,3.222082
0.136000,-0.263489
0.140000,-1.759654
0.144000,-1.480151
0.148000,-1.266413
0.152000,-1.381503
0.156000,-1.184206
0.160000,-0.625200
0.164000,-0.230607
0.168000,-0.345696
0.172000,-0.378579
0.176000,0.213310
0.180000,0.788758
0.184000,0.755876
0.188000,0.739434
0.192000,0.986055
0.196000,1.380648
0.200000,1.183351
0.204000,0.772317
0.208000,1.183351
0.212000,3.764647
0.216000,10.653582
0.220000,24.941135
0.224000,41.777098
0.228000,55.045282
0.232000,62.016421
0.236000,64.975867
0.240000,66.636444
0.244000,67.442071
0.248000,67.129685
0.252000,65.732169
0.256000,64.022268
0.260000,62.049304
0.264000,59.451568
0.268000,56.097530
0.272000,51.855657
0.276000,45.427082
0.280000,34.953930
0.284000,20.748585
0.288000,11.064616
0.292000,4.734688
0.296000,1.018938
0.300000,-1.299296
0.304000,-2.236454
0.308000,-1.940509
0.312000,-1.381503
0.316000,-1.200648
0.320000,-1.282855
0.324000,-1.036234
0.328000,-0.542993
0.332000,-0.329255
0.336000,-0.395020
0.340000,-0.082634
0.344000,0.459931
0.348000,0.690110
0.352000,0.542138
0.356000,0.476372
0.360000,0.755876
0.364000,0.870965
0.368000,0.624345
0.372000,1.594386
0.376000,6.049998
0.380000,17.608283
0.384000,33.457765
0.388000,48.090584
0.392000,57.544370
0.396000,62.279483
0.400000,64.268888
0.404000,64.877218
0.408000,64.926543
0.412000,64.400419
0.416000,62.937137
0.420000,60.454491
0.424000,57.643018
0.428000,54.683572
0.432000,50.754085
0.436000,44.621455
0.440000,35.496495
0.444000,22.211867
0.448000,12.182630
0.452000,5.047074
0.456000,0.690110
0.460000,-1.315737
0.464000,-2.022716
0.468000,-2.170689
0.472000,-2.154247
0.476000,-1.628123
0.480000,-1.118441
0.484000,-1.085558
0.488000,-1.151324
0.492000,-0.806055
0.496000,-0.296372
0.500000,-0.181283
0.504000,-0.197724
0.508000,0.114662
0.512000,0.542138
0.516000,0.525696
0.520000,0.279076
0.524000,0.246193
0.528000,0.525696
0.532000,1.068262
0.536000,3.633116
0.540000,11.442768
0.544000,26.552389
0.548000,42.056601
0.552000,52.825698
0.556000,58.530852
