LabVIEW Measurement,
Writer_Version,2
Reader_Version,2
Separator,Comma
Decimal_Separator,.
Multi_Headings,No
X_Columns,Multi
Time_Pref,Absolute
Operator,gaudettelab
Date,2014/09/16
Time,10:00:00.5388983499427029888
***End_of_Header***,
,
Channels,1,
Samples,1478,
Date,2014/09/16,
Time,10:44:26.8074001499425639602,
Y_Unit_Label,Volts,
X_Dimension,Time,
X0,0.0000000000000000E+0,
Delta_X,0.004000,
***End_of_Header***,,
X_Value,Dev1/ai0,Comment
0.000000,1.776026
0.004000,-0.065408
0.008000,-0.575090
0.012000,-0.805270
0.016000,-0.805270
0.020000,-0.575090
0.024000,0.033240
0.028000,0.625130
0.032000,0.953957
0.036000,0.921074
0.040000,1.348550
0.044000,1.923998
0.048000,2.187060
0.052000,2.285708
0.056000,2.713184
0.060000,3.535253
0.064000,3.962728
0.068000,4.110701
0.072000,4.636825
0.076000,5.541100
0.080000,6.100107
0.084000,6.165872
0.088000,6.165872
0.092000,6.297403
0.096000,6.379610
0.100000,8.171720
0.104000,16.408848
0.108000,33.228371
0.112000,51.675587
0.116000,65.289038
0.120000,72.638327
0.124000,77.735149
0.128000,81.187835
0.132000,83.029267
0.136000,83.703362
0.140000,83.604714
0.144000,83.111474
0.148000,81.681075
0.152000,79.576581
0.156000,77.636501
0.160000,76.140337
0.164000,74.282463
0.168000,71.931349
0.172000,69.021228
0.176000,63.957288
0.180000,54.240441
0.184000,35.267101
0.188000,23.281341
0.192000,13.613814
0.196000,7.251003
0.200000,2.894039
0.204000,0.542923
0.208000,-0.344911
0.212000,-0.624415
0.216000,-0.887477
0.220000,-0.739504
0.224000,-0.114732
0.228000,0.542923
0.232000,0.740219
0.236000,0.789544
0.240000,1.167695
0.244000,1.858233
0.248000,2.104853
0.252000,2.088412
0.256000,2.565212
0.260000,3.370839
0.264000,3.765432
0.268000,3.962728
0.272000,4.423087
0.276000,5.376687
0.280000,5.985017
0.284000,6.050783
0.288000,6.215197
0.292000,6.379610
0.296000,6.346728
0.300000,6.807086
0.304000,12.166974
0.308000,25.895519
0.312000,44.753771
0.316000,60.685456
0.320000,70.221447
0.324000,75.992365
0.328000,80.201353
0.332000,82.371612
0.336000,83.489625
0.340000,83.834893
0.344000,83.489625
0.348000,82.355171
0.352000,80.332884
0.356000,78.409245
0.360000,76.847316
0.364000,75.071649
0.368000,72.786300
0.372000,70.320095
0.376000,66.555023
0.380000,58.696051
0.384000,42.353331
0.388000,27.753394
0.392000,17.132268
0.396000,9.487030
0.400000,4.357321
0.404000,1.167695
0.408000,-0.065408
0.412000,-0.443559
0.416000,-0.953242
0.420000,-0.986125
0.424000,-0.328470
0.428000,0.378509
0.432000,0.592247
0.436000,0.641571
0.440000,1.052605
0.444000,1.743143
0.448000,1.973322
0.452000,2.006205
0.456000,2.367915
0.460000,3.157101
0.464000,3.584577
0.468000,3.732549
0.472000,4.160025
0.476000,5.097183
0.480000,5.738397
0.484000,5.902810
0.488000,6.100107
0.492000,6.428934
0.496000,6.412493
0.500000,6.231638
0.504000,8.730727
0.508000,18.546226
0.512000,36.270025
0.516000,53.977379
0.520000,66.522140
0.524000,73.657692
0.528000,78.639424
0.532000,81.533103
0.536000,83.045708
0.540000,83.900659
0.544000,83.949983
0.548000,83.012825
0.552000,81.187835
0.556000,79.313520
0.560000,77.784473
0.564000,75.959482
