LabVIEW Measurement,
Writer_Version,2
Reader_Version,2
Separator,Comma
Decimal_Separator,.
Multi_Headings,No
X_Columns,Multi
Time_Pref,Absolute
Operator,gaudettelab
Date,6/17/2014
Time,17:49.6
***End_of_Header***,
,
Channels,1
Samples,1478
Date,6/17/2014
Time,47:36.7
Y_Unit_Label,Volts
X_Dimension,Time
X0,0.00E+00
Delta_X,0.004
***End_of_Header***,
X_Value,Dev1/ai0
0,3.53E+01
0.004,2.94E+01
0.008,2.35E+01
0.012,1.84E+01
0.016,1.45E+01
0.02,1.16E+01
0.024,9.63E+00
0.028,9.39E+00
0.032,9.87E+00
0.036,9.87E+00
0.04,9.87E+00
0.044,1.01E+01
0.048,1.04E+01
0.052,1.04E+01
0.056,1.01E+01
0.06,1.01E+01
0.064,1.04E+01
0.068,1.09E+01
0.072,1.09E+01
0.076,1.13E+01
0.08,1.21E+01
0.084,1.28E+01
0.088,1.26E+01
0.092,1.23E+01
0.096,1.23E+01
0.1,1.23E+01
0.104,1.18E+01
0.108,1.16E+01
0.112,1.23E+01
0.116,1.50E+01
0.12,2.09E+01
0.124,2.94E+01
0.128,3.89E+01
0.132,4.80E+01
0.136,5.46E+01
0.14,5.77E+01
0.144,5.87E+01
0.148,5.75E+01
0.152,5.36E+01
0.156,4.77E+01
0.16,4.16E+01
0.164,3.60E+01
0.168,3.01E+01
0.172,2.40E+01
0.176,1.87E+01
0.18,1.48E+01
0.184,1.18E+01
0.188,9.87E+00
0.192,9.39E+00
0.196,9.63E+00
0.2,1.01E+01
0.204,9.87E+00
0.208,9.87E+00
0.212,1.04E+01
0.216,1.04E+01
0.22,1.04E+01
0.224,1.01E+01
0.228,1.04E+01
0.232,1.09E+01
0.236,1.11E+01
0.24,1.13E+01
0.244,1.18E+01
0.248,1.28E+01
0.252,1.28E+01
0.256,1.23E+01
0.26,1.21E+01
0.264,1.21E+01
0.268,1.21E+01
0.272,1.18E+01
0.276,1.23E+01
0.28,1.45E+01
0.284,2.04E+01
0.288,2.89E+01
0.292,3.80E+01
0.296,4.72E+01
0.3,5.43E+01
0.304,5.80E+01
0.308,5.87E+01
0.312,5.75E+01
0.316,5.43E+01
0.32,4.87E+01
0.324,4.26E+01
0.328,3.62E+01
0.332,3.09E+01
0.336,2.50E+01
0.34,1.92E+01
0.344,1.50E+01
0.348,1.21E+01
0.352,1.01E+01
0.356,9.14E+00
0.36,9.39E+00
0.364,9.87E+00
0.368,1.01E+01
0.372,9.87E+00
0.376,9.87E+00
0.38,1.04E+01
0.384,1.04E+01
0.388,1.01E+01
0.392,1.01E+01
0.396,1.06E+01
0.4,1.11E+01
0.404,1.13E+01
0.408,1.18E+01
0.412,1.26E+01
0.416,1.30E+01
0.42,1.26E+01
0.424,1.21E+01
0.428,1.18E+01
0.432,1.21E+01
0.436,1.18E+01
0.44,1.21E+01
0.444,1.40E+01
0.448,1.96E+01
0.452,2.82E+01
0.456,3.75E+01
0.46,4.65E+01
0.464,5.38E+01
0.468,5.80E+01
0.472,5.89E+01
0.476,5.75E+01
0.48,5.43E+01
0.484,4.92E+01
0.488,4.31E+01
0.492,3.67E+01
0.496,3.11E+01
0.5,2.55E+01
0.504,1.99E+01
0.508,1.50E+01
0.512,1.21E+01
0.516,1.04E+01
0.52,9.63E+00
0.524,9.39E+00
0.528,9.63E+00
0.532,1.01E+01
