LabVIEW Measurement,
Writer_Version,2
Reader_Version,2
Separator,Comma
Decimal_Separator,.
Multi_Headings,No
X_Columns,Multi
Time_Pref,Absolute
Operator,gaudettelab
Date,2014/11/04
Time,10:14:38.826726649942553953
***End_of_Header***,
,
Channels,1,
Samples,1478,
Date,2014/11/04,
Time,10:21:52.103508749942928431,
Y_Unit_Label,Volts,
X_Dimension,Time,
X0,0.0000000000000000E+0,
Delta_X,0.004000,
***End_of_Header***,,
X_Value,Dev1/ai0,Comment
0.000000,47.221955
0.004000,46.843804
0.008000,46.712273
0.012000,49.079830
0.016000,57.119661
0.020000,70.831765
0.024000,84.313688
0.028000,95.099225
0.032000,102.415632
0.036000,106.164263
0.040000,107.791957
0.044000,108.367405
0.048000,108.350964
0.052000,107.249392
0.056000,105.177781
0.060000,102.695135
0.064000,100.294696
0.068000,97.433898
0.072000,93.882564
0.076000,89.821546
0.080000,84.099950
0.084000,75.583321
0.088000,62.759052
0.092000,54.061566
0.096000,48.060465
0.100000,44.328274
0.104000,42.388192
0.108000,41.385268
0.112000,41.105764
0.116000,41.385268
0.120000,42.042923
0.124000,42.388192
0.128000,42.700578
0.132000,43.374674
0.136000,43.785708
0.140000,44.196743
0.144000,44.706425
0.148000,45.775114
0.152000,46.646507
0.156000,46.810921
0.160000,46.926010
0.164000,46.679390
0.168000,46.202590
0.172000,45.627142
0.176000,45.265432
0.180000,46.630066
0.184000,51.611802
0.188000,62.463107
0.192000,76.273859
0.196000,88.687092
0.200000,97.614754
0.204000,102.481397
0.208000,104.783188
0.212000,106.032732
0.216000,106.378000
0.220000,105.227105
0.224000,103.500762
0.228000,101.314060
0.232000,99.012270
0.236000,96.003500
0.240000,92.485047
0.244000,88.522678
0.248000,83.146351
0.252000,75.040756
0.256000,62.709728
0.260000,54.373952
0.264000,48.487941
0.268000,44.311832
0.272000,42.075805
0.276000,41.105764
0.280000,41.187971
0.284000,41.483916
0.288000,41.516799
0.292000,41.582564
0.296000,42.470398
0.300000,43.193819
0.304000,43.588412
0.308000,43.933681
0.312000,44.755749
0.316000,45.775114
0.320000,46.712273
0.324000,47.205514
0.328000,47.698755
0.332000,48.142672
0.336000,47.797403
0.340000,46.728714
0.344000,46.021735
0.348000,46.251914
0.352000,47.485017
0.356000,52.154367
0.360000,63.202969
0.364000,77.243899
0.368000,89.426953
0.372000,97.466781
0.376000,101.988156
0.380000,104.520126
0.384000,105.621698
0.388000,105.292870
0.392000,104.158416
0.396000,102.843107
0.400000,100.919468
0.404000,98.239525
0.408000,94.918370
0.412000,91.646538
0.416000,87.569079
0.420000,80.992532
0.424000,72.229282
0.428000,60.753205
0.432000,53.930035
0.436000,48.816768
0.440000,45.429846
0.444000,43.917239
0.448000,43.292467
0.452000,43.029405
0.456000,42.684136
0.460000,43.440439
0.464000,44.262508
0.468000,44.607777
0.472000,44.509129
0.476000,44.837956
0.480000,45.857321
0.484000,46.991776
0.488000,47.715196
0.492000,48.339969
0.496000,49.441540
0.500000,50.049871
0.504000,49.934782
0.508000,49.096272
0.512000,48.455058
0.516000,48.274203
0.520000,48.224879
0.524000,49.934782
0.528000,57.103220
0.532000,70.585145
0.536000,84.215040
0.540000,94.819721
0.544000,102.053922
0.548000,106.460207
0.552000,108.630467
0.556000,109.107266
0.560000,108.844205
0.564000,108.153667
0.568000,106.624621
0.572000,104.191299
